id,city,latitude,longitude,CountryName,CountryCode,Population,GDP,Ankommende,Fluchtlinge,rejected
0,Albania,41.000028,19.9999619,Albania,ALB,2897366,12923241278,223,14648,0
1,Algeria,28.0000272,2.9999825,Algeria,DZA,39218194,2.11183E+11,2522,11522,1723
2,Armenia,40.7696272,44.6736646,Armenia,ARM,2976566,11432169571,315,8311,0
3,Austria,47.2000338,13.199959,Austria,AUT,8479823,4.28322E+11,17424,0,11323
4,Azerbaijan,40.1636668,47.8207429,Azerbaijan,AZE,9416811,73561484385,442,3487,183
5,Belarus,53.4250605,27.6971358,Belarus,BLR,9466111,71719513654,226,1584,111
6,Belgium,50.6407351,4.66696,Belgium,BEL,11182817,5.24816E+11,29198,22,21625
7,Bosnia and Herzegovina,44.3092405,17.5859673,Bosnia and Herzegovina,BIH,3829317,17851326454,87,8244,0
8,Bulgaria,42.6073975,25.4856617,Bulgaria,BGR,7265115,54479873111,7189,263,311
9,Croatia,45.5643442,17.0118954,Croatia,HRV,4255711,57868674298,1128,341,212
10,Cyprus,34.9823018,33.1451285,Cyprus,CYP,1141166,21911444513,2617,0,1129
11,Czech Republic,49.8167003,15.4749544,Czech Republic,CZE,11514272,2.18796E+11,612,69,291
12,Denmark,55.670249,10.3333283,Denmark,DNK,5614932,3.35878E+11,9391,0,3273
13,Egypt,26.2540493,29.2675469,Egypt,EGY,82156378,2.71973E+11,11695,11818,311
14,Estonia,58.7523778,25.3319078,Estonia,EST,1317997,24881264958,74,5,32
15,Finland,63.2467777,25.9209164,Finland,FIN,5438972,2.67329E+11,3191,0,897
16,France,46.603354,1.8883335,France,FRA,65939866,2.81643E+12,111682,0,71153
17,Georgia,41.6809707,44.0287382,Georgia,GEO,4487211,16141147112,693,29,218
18,Germany,51.0834196,10.4234469,Germany,DEU,81651873,3.73126E+12,126917,37,31147
19,Greece,39.000041,21.9999569,Greece,GRC,11127549,2.4223E+11,36183,93,15485
20,Hungary,47.1817585,19.5060937,Hungary,HUN,9893899,1.33424E+11,18825,296,4126
21,Iran,32.9407496,52.9471344,Iran,IRN,77447168,3.68914E+11,56,29721,8
22,Iraq,33.0955793,44.1749775,Iraq,IRQ,33417476,2.29327E+11,4898,49523,0
23,Ireland,52.865196,-7.9794599,Ireland,IRL,4597558,2.32177E+11,4419,36,1454
24,Israel,30.8760272,35.0015196,Israel,ISR,8159511,2.91551E+11,1411,151,0
25,Italy,42.6384261,12.674297,Italy,ITA,61233948,2.14948E+12,27771,88,9111
26,Jordan,31.1667049,36.941628,Jordan,JOR,6461111,33678511148,6643,1188,0
27,Kazakhstan,47.2286086,65.2093197,Kazakhstan,KAZ,17135275,2.31876E+11,121,1544,5
28,Latvia,56.8666904,24.5999717,Latvia,LVA,2112647,31956691628,169,26,29
29,Lebanon,33.8750629,35.843409,Lebanon,LBN,4467391,44352418121,3218,3172,676
30,Libya,26.8234472,18.1236723,Libya,LBY,6211521,74199528672,5588,2997,0
31,Lithuania,55.3500003,23.7499998,Lithuania,LTU,2957689,45931968474,225,44,111
32,Luxembourg,49.8158683,6.1296751,Luxembourg,LUX,543361,61131847624,1527,5,822
33,Malta,27.5015719,85.2451666,Malta,MLT,423374,9642326175,2178,0,421
34,Moldova,47.286747,28.5110236,Moldova,MDA,3558566,7969618966,133,511,
35,Morocco,31.1728192,-7.3366043,Morocco,MAR,33118151,1.13836E+11,3163,6654,683
36,Netherlands,52.2379891,5.53460738161551,Netherlands,NLD,16814432,8.53539E+11,17141,31,6743
37,Norway,64.574131,11.5270102892405,Norway,NOR,5181166,5.1258E+11,21442,0,12464
38,Poland,52.0977181,19.0258159,Poland,POL,38514479,5.25866E+11,14917,261,2946
39,Portugal,40.033265,-7.8896263,Portugal,PRT,11457295,2.27324E+11,479,25,0
40,Romania,45.9852129,24.6859225,Romania,ROM,19981358,1.89638E+11,1661,715,499
41,Russian Federation,64.6863136,97.7453061,Russian Federation,RUS,143499861,2.19678E+12,4657,46314,1914
42,Saudi Arabia,25.6242618,42.3528328,Saudi Arabia,SAU,28828871,7.4845E+11,18,213,0
43,Serbia & Kosovo,44.1534121,20.55144,Serbia & Kosovo,SRB,7164132,45519651911,5185,49237,6
44,Slovak Republic,48.7411522,19.4528646,Slovak Republic,SVK,5413393,97717323421,365,91,128
45,Slovenia,45.8133113,14.4808369,Slovenia,SVN,2159953,47987313638,222,6,113
46,Spain,40.0028028,-4.003104,Spain,ESP,46617825,1.39314E+12,4442,51,1296
47,Sweden,59.6749712,14.5208584,Sweden,SWE,9611379,5.7968E+11,68739,16,24528
48,Switzerland,46.7985624,8.2319736,Switzerland,CHE,8187875,6.85434E+11,27875,0,7131
49,Tajikistan,38.6281733,70.8156541,Tajikistan,TJK,8217834,8518113456,584,635,143
50,Tunisia,33.8439408,9.400138,Tunisia,TUN,11886511,46993598818,335,2239,24
51,Turkey,38.9597594,34.9249653,Turkey,TUR,74932641,8.22135E+11,46549,8591,1513
52,Ukraine,49.4871968,31.2718321,Ukraine,UKR,45489611,1.77431E+11,1654,1213,629
53,United Kingdom,54.7023545,-3.2765753,United Kingdom,GBR,64116779,2.67845E+12,38593,31,18214
54,Yemen,16.3471243,47.8915271,Yemen,YEM,24417381,35954512314,6251,1521,467
55,Mauritania,20.2540382,-9.2399263,Mauritania,MRT,3889881,4158182914,775,3747,119
56,Mali,16.3700359,-2.2900239,Mali,MLI,15311651,11942727311,1959,1951,0
57,Niger,17.7356214,9.3238432,Niger,NER,17831271,7417418428,21,376,8
58,Chad,15.6134137,19.0156172,Chad,TCD,12825314,13513552425,0,3821,0
59,Sudan,14.5844444,29.4917691,Sudan,SDN,37964316,66565889417,0,21635,0
60,Pakistan,30.3308401,71.247499,Pakistan,PAK,182142594,2.32287E+11,0,23197,0
61,Afghanistan,33.0000866,64.9998468,Afghanistan,AFG,31551674,21319671115,32,61483,15
62,Turkmenistan,39.3763807,59.3924609,Turkmenistan,TKM,5241172,41851877193,0,121,0
63,Uzbekistan,41.32373,63.9528098,Uzbekistan,UZB,31243211,56795656325,0,1375,0
